data,total,positivos,prevalencia
2015-01-01,179,12,0.0670391061452514
2015-01-02,235,12,0.05106382978723404
2015-01-03,211,20,0.0947867298578199
2015-01-04,200,25,0.125
2015-01-05,150,12,0.08
2015-01-06,181,26,0.143646408839779
2015-01-07,199,26,0.1306532663316583
2015-01-08,145,7,0.04827586206896552
2015-01-09,208,26,0.125
2015-01-10,206,31,0.15048543689320387
2015-01-11,165,14,0.08484848484848485
2015-01-12,212,24,0.11320754716981132
2015-01-13,231,22,0.09523809523809523
2015-01-14,235,26,0.11063829787234042
2015-01-15,245,24,0.09795918367346938
2015-01-16,231,26,0.11255411255411256
2015-01-17,182,11,0.06043956043956044
2015-01-18,215,19,0.08837209302325581
2015-01-19,219,40,0.182648401826484
2015-01-20,234,27,0.11538461538461539
2015-01-21,246,37,0.15040650406504066
2015-01-22,264,27,0.10227272727272728
2015-01-23,229,27,0.11790393013100436
2015-01-24,213,17,0.07981220657276995
2015-01-25,236,11,0.046610169491525424
2015-01-26,236,30,0.1271186440677966
2015-01-27,269,34,0.12639405204460966
2015-01-28,234,31,0.13247863247863248
2015-01-29,266,29,0.10902255639097744
2015-01-30,248,32,0.12903225806451613
2015-01-31,215,12,0.05581395348837209
2015-02-01,179,17,0.09497206703910614
2015-02-02,228,33,0.14473684210526316
2015-02-03,232,30,0.12931034482758622
2015-02-04,174,15,0.08620689655172414
2015-02-05,156,17,0.10897435897435898
2015-02-06,196,18,0.09183673469387756
2015-02-07,221,27,0.12217194570135746
2015-02-08,201,9,0.04477611940298507
2015-02-09,200,28,0.14
2015-02-10,180,20,0.1111111111111111
2015-02-11,133,13,0.09774436090225563
2015-02-12,225,24,0.10666666666666667
2015-02-13,239,31,0.1297071129707113
2015-02-14,184,11,0.059782608695652176
2015-02-15,207,19,0.09178743961352658
2015-02-16,199,16,0.08040201005025126
2015-02-17,187,17,0.09090909090909091
2015-02-18,202,24,0.1188118811881188
2015-02-19,248,14,0.056451612903225805
2015-02-20,241,25,0.1037344398340249
2015-02-21,188,10,0.05319148936170213
2015-02-22,223,13,0.05829596412556054
2015-02-23,235,29,0.12340425531914893
2015-02-24,261,40,0.1532567049808429
2015-02-25,262,45,0.1717557251908397
2015-02-26,256,43,0.16796875
2015-02-27,277,42,0.15162454873646208
2015-02-28,203,23,0.11330049261083744
2015-03-01,160,13,0.08125
2015-03-02,246,25,0.1016260162601626
2015-03-03,276,46,0.16666666666666666
2015-03-04,132,11,0.08333333333333333
2015-03-05,179,3,0.01675977653631285
2015-03-06,193,22,0.11398963730569948
2015-03-07,175,18,0.10285714285714286
2015-03-08,193,27,0.13989637305699482
2015-03-09,218,16,0.07339449541284404
2015-03-10,131,9,0.06870229007633588
2015-03-11,195,27,0.13846153846153847
2015-03-12,251,39,0.1553784860557769
2015-03-13,227,21,0.09251101321585903
2015-03-14,175,11,0.06285714285714286
2015-03-15,285,14,0.04912280701754386
2015-03-16,238,28,0.11764705882352941
2015-03-17,244,29,0.11885245901639344
2015-03-18,265,31,0.1169811320754717
2015-03-19,249,31,0.12449799196787148
2015-03-20,243,29,0.11934156378600823
2015-03-21,205,18,0.08780487804878048
2015-03-22,221,13,0.058823529411764705
2015-03-23,233,34,0.1459227467811159
2015-03-24,278,32,0.11510791366906475
2015-03-25,244,24,0.09836065573770492
2015-03-26,233,45,0.19313304721030042
2015-03-27,223,30,0.13452914798206278
2015-03-28,200,15,0.075
2015-03-29,210,8,0.0380952380952381
2015-03-30,197,32,0.16243654822335024
2015-03-31,212,40,0.18867924528301888
2015-04-01,162,9,0.05555555555555555
2015-04-02,243,21,0.08641975308641975
2015-04-03,247,31,0.12550607287449392
2015-04-04,158,13,0.08227848101265822
2015-04-05,196,27,0.1377551020408163
2015-04-06,144,7,0.04861111111111111
2015-04-07,180,17,0.09444444444444444
2015-04-08,202,28,0.13861386138613863
2015-04-09,185,23,0.12432432432432433
2015-04-10,177,14,0.07909604519774012
2015-04-11,189,27,0.14285714285714285
2015-04-12,205,24,0.11707317073170732
2015-04-13,189,23,0.12169312169312169
2015-04-14,222,30,0.13513513513513514
2015-04-15,217,36,0.16589861751152074
2015-04-16,191,23,0.12041884816753927
2015-04-17,194,26,0.13402061855670103
2015-04-18,162,14,0.08641975308641975
2015-04-19,180,17,0.09444444444444444
2015-04-20,164,14,0.08536585365853659
2015-04-21,154,13,0.08441558441558442
2015-04-22,197,41,0.20812182741116753
2015-04-23,216,35,0.16203703703703703
2015-04-24,217,24,0.11059907834101383
2015-04-25,169,15,0.08875739644970414
2015-04-26,187,10,0.053475935828877004
2015-04-27,187,31,0.1657754010695187
2015-04-28,218,26,0.11926605504587157
2015-04-29,213,39,0.18309859154929578
2015-04-30,201,28,0.13930348258706468
2015-05-01,239,35,0.14644351464435146
2015-05-02,260,23,0.08846153846153847
2015-05-03,246,24,0.0975609756097561
2015-05-04,132,8,0.06060606060606061
2015-05-05,195,26,0.13333333333333333
2015-05-06,150,16,0.10666666666666667
2015-05-07,205,18,0.08780487804878048
2015-05-08,203,25,0.12315270935960591
2015-05-09,146,9,0.06164383561643835
2015-05-10,189,29,0.15343915343915343
2015-05-11,206,30,0.14563106796116504
2015-05-12,144,14,0.09722222222222222
2015-05-13,205,21,0.1024390243902439
2015-05-14,197,17,0.08629441624365482
2015-05-15,178,20,0.11235955056179775
2015-05-16,164,12,0.07317073170731707
2015-05-17,198,10,0.050505050505050504
2015-05-18,188,27,0.14361702127659576
2015-05-19,183,26,0.14207650273224043
2015-05-20,211,30,0.14218009478672985
2015-05-21,178,23,0.12921348314606743
2015-05-22,201,31,0.15422885572139303
2015-05-23,175,18,0.10285714285714286
2015-05-24,192,18,0.09375
2015-05-25,166,28,0.1686746987951807
2015-05-26,193,33,0.17098445595854922
2015-05-27,216,24,0.1111111111111111
2015-05-28,201,20,0.09950248756218906
2015-05-29,184,29,0.15760869565217392
2015-05-30,214,9,0.04205607476635514
2015-05-31,176,11,0.0625
2015-06-01,242,25,0.10330578512396695
2015-06-02,261,24,0.09195402298850575
2015-06-03,249,23,0.09236947791164658
2015-06-04,163,22,0.13496932515337423
2015-06-05,210,28,0.13333333333333333
2015-06-06,152,9,0.05921052631578947
2015-06-07,194,35,0.18041237113402062
2015-06-08,190,20,0.10526315789473684
2015-06-09,160,10,0.0625
2015-06-10,185,30,0.16216216216216217
2015-06-11,177,26,0.14689265536723164
2015-06-12,171,9,0.05263157894736842
2015-06-13,167,13,0.07784431137724551
2015-06-14,182,11,0.06043956043956044
2015-06-15,204,27,0.1323529411764706
2015-06-16,199,28,0.1407035175879397
2015-06-17,197,21,0.1065989847715736
2015-06-18,227,42,0.18502202643171806
2015-06-19,194,16,0.08247422680412371
2015-06-20,176,16,0.09090909090909091
2015-06-21,214,20,0.09345794392523364
2015-06-22,203,27,0.1330049261083744
2015-06-23,204,20,0.09803921568627451
2015-06-24,197,31,0.15736040609137056
2015-06-25,214,32,0.14953271028037382
2015-06-26,180,21,0.11666666666666667
2015-06-27,234,12,0.05128205128205128
2015-06-28,183,6,0.03278688524590164
2015-06-29,194,34,0.17525773195876287
2015-06-30,211,31,0.14691943127962084
2015-07-01,252,26,0.10317460317460317
2015-07-02,191,12,0.06282722513089005
2015-07-03,211,20,0.0947867298578199
2015-07-04,200,33,0.165
2015-07-05,222,19,0.08558558558558559
2015-07-06,205,13,0.06341463414634146
2015-07-07,197,29,0.14720812182741116
2015-07-08,180,17,0.09444444444444444
2015-07-09,147,18,0.12244897959183673
2015-07-10,203,30,0.1477832512315271
2015-07-11,136,14,0.10294117647058823
2015-07-12,211,30,0.14218009478672985
2015-07-13,191,37,0.193717277486911
2015-07-14,208,31,0.14903846153846154
2015-07-15,193,22,0.11398963730569948
2015-07-16,231,32,0.13852813852813853
2015-07-17,204,21,0.10294117647058823
2015-07-18,148,9,0.060810810810810814
2015-07-19,196,20,0.10204081632653061
2015-07-20,198,23,0.11616161616161616
2015-07-21,182,19,0.1043956043956044
