data,total,positivos,prevalencia
2015-01-01,6739,717,0.1063956076569224
2015-02-01,5937,653,0.1099882095334344
2015-03-01,6731,741,0.11008765413757243
2015-04-01,5766,686,0.11897329171002428
2015-05-01,5935,664,0.11187868576242628
2015-06-01,5934,669,0.11274014155712841
2015-07-01,5944,708,0.11911170928667564
2015-08-01,6131,702,0.11450008155276464
2015-09-01,6036,757,0.12541418157720344
2015-10-01,6170,681,0.11037277147487845
2015-11-01,6012,719,0.11959414504324684
2015-12-01,5399,745,0.13798851639192444
2016-01-01,5235,781,0.14918815663801338
2016-02-01,5008,629,0.1255990415335463
2016-03-01,5477,602,0.10991418659850283
2016-04-01,5256,648,0.1232876712328767
2016-05-01,4975,651,0.13085427135678393
2016-06-01,5218,725,0.13894212341893447
2016-07-01,5132,665,0.12957911145752143
2016-08-01,5387,629,0.11676257657323186
2016-09-01,4710,614,0.13036093418259023
2016-10-01,4821,697,0.14457581414644266
2016-11-01,4677,663,0.14175753688261705
2016-12-01,4243,639,0.1506009898656611
2017-01-01,3748,475,0.1267342582710779
2017-02-01,3356,415,0.12365911799761621
2017-03-01,3902,614,0.1573552024602768
2017-04-01,3576,543,0.1518456375838926
2017-05-01,4145,525,0.12665862484921592
2017-06-01,3735,494,0.1322623828647925
2017-07-01,3741,499,0.13338679497460573
2017-08-01,3912,488,0.12474437627811862
2017-09-01,3944,516,0.1308316430020284
