data,total,positivos,prevalencia
2014-12-29,825,69,0.08363636363636363
2015-01-05,1254,142,0.11323763955342903
2015-01-12,1551,152,0.09800128949065119
2015-01-19,1641,186,0.113345521023766
2015-01-26,1647,185,0.11232544019429265
2015-02-02,1408,149,0.10582386363636363
2015-02-09,1368,146,0.1067251461988304
2015-02-16,1488,119,0.07997311827956989
2015-02-23,1654,235,0.14207980652962515
2015-03-02,1394,152,0.10903873744619799
2015-03-09,1482,137,0.09244264507422402
2015-03-16,1665,179,0.10750750750750751
2015-03-23,1621,188,0.11597779148673658
2015-03-30,1415,173,0.12226148409893993
2015-04-06,1282,140,0.10920436817472699
2015-04-13,1355,169,0.12472324723247233
2015-04-20,1304,152,0.1165644171779141
2015-04-27,1564,206,0.13171355498721227
2015-05-04,1220,131,0.10737704918032787
2015-05-11,1292,124,0.09597523219814241
2015-05-18,1328,173,0.1302710843373494
2015-05-25,1350,154,0.11407407407407408
2015-06-01,1471,166,0.11284840244731476
2015-06-08,1232,119,0.09659090909090909
2015-06-15,1411,170,0.12048192771084337
2015-06-22,1415,149,0.10530035335689046
2015-06-29,1481,175,0.11816340310600945
2015-07-06,1279,151,0.11806098514464425
2015-07-13,1371,172,0.12545587162654998
2015-07-20,1274,142,0.11145996860282574
2015-07-27,1395,176,0.12616487455197134
2015-08-03,1300,156,0.12
2015-08-10,1325,117,0.08830188679245284
2015-08-17,1391,175,0.12580877066858376
2015-08-24,1451,172,0.11853893866299105
2015-08-31,1493,198,0.13261888814467515
2015-09-07,1396,181,0.1296561604584527
2015-09-14,1332,154,0.11561561561561562
2015-09-21,1421,179,0.12596762843068263
2015-09-28,1484,168,0.11320754716981132
2015-10-05,1293,149,0.11523588553750967
2015-10-12,1402,160,0.11412268188302425
2015-10-19,1399,144,0.10293066476054324
2015-10-26,1399,154,0.11007862759113653
2015-11-02,1456,184,0.12637362637362637
2015-11-09,1365,144,0.1054945054945055
2015-11-16,1356,149,0.10988200589970501
2015-11-23,1428,188,0.13165266106442577
2015-11-30,1513,185,0.12227362855254462
2015-12-07,1248,149,0.11939102564102565
2015-12-14,1358,237,0.17452135493372606
2015-12-21,913,129,0.14129244249726178
2015-12-28,1056,162,0.1534090909090909
2016-01-04,1294,165,0.1275115919629057
2016-01-11,1101,171,0.1553133514986376
2016-01-18,1139,189,0.16593503072870938
2016-01-25,1219,183,0.1501230516817063
2016-02-01,1132,168,0.14840989399293286
2016-02-08,1055,110,0.10426540284360189
2016-02-15,1269,158,0.12450748620961387
2016-02-22,1368,163,0.11915204678362573
2016-02-29,1189,151,0.12699747687132043
2016-03-07,1105,105,0.09502262443438914
2016-03-14,1343,142,0.10573343261355175
2016-03-21,1228,131,0.10667752442996743
2016-03-28,1372,186,0.13556851311953352
2016-04-04,1219,152,0.12469237079573421
2016-04-11,1284,127,0.09890965732087227
2016-04-18,1085,118,0.10875576036866359
2016-04-25,1287,197,0.15306915306915306
2016-05-02,1134,127,0.11199294532627865
2016-05-09,1045,151,0.1444976076555024
2016-05-16,1220,167,0.13688524590163934
2016-05-23,1044,126,0.1206896551724138
2016-05-30,1146,154,0.1343804537521815
2016-06-06,1184,159,0.13429054054054054
2016-06-13,1216,141,0.11595394736842106
2016-06-20,1263,184,0.1456848772763262
2016-06-27,1227,205,0.16707416462917685
2016-07-04,1176,134,0.11394557823129252
2016-07-11,1104,145,0.13134057971014493
2016-07-18,1128,152,0.1347517730496454
2016-07-25,1243,167,0.13435237329042637
2016-08-01,1149,146,0.12706701479547433
2016-08-08,1163,130,0.1117798796216681
2016-08-15,1368,144,0.10526315789473684
2016-08-22,1179,141,0.11959287531806616
2016-08-29,1069,125,0.11693171188026193
2016-09-05,1167,128,0.10968294772922023
2016-09-12,1116,140,0.12544802867383512
2016-09-19,1044,143,0.13697318007662834
2016-09-26,1127,175,0.15527950310559005
2016-10-03,1198,128,0.10684474123539232
2016-10-10,932,154,0.16523605150214593
2016-10-17,1031,169,0.16391852570320078
2016-10-24,1219,191,0.15668580803937654
