categoria,n_total,n_meses_cobertos,prevalencia_primeiro_mes,prevalencia_ultimo_mes,mk_tau,mk_p,mk_efeito,zp_estatistica,zp_p,zp_efeito,qui_estatistica,qui_p,qui_efeito
poder,22022,33,0.10787950734530345,0.14249492900608518,0.10984848484848485,0.3800429221042466,"{""n"": 33, ""primeiro"": 0.10787950734530345, ""ultimo"": 0.14249492900608518, ""delta"": 0.03461542166078173}",-2.4023428637291233,0.016290431744243605,"{""p1"": 0.11940770478730717, ""p2"": 0.12454651843183148, ""diferenca"": -0.005138813644524315, ""risco_relativo"": 0.958739804940136, ""n1"": 72734, ""n2"": 34180, ""ano_1"": 2015, ""ano_2"": 2017}",306.68507966819016,2.5361860476091887e-67,"{""graus_liberdade"": 2, ""prevalencias_observadas"": [0.11940770478730717, 0.1509835547647949, 0.12454651843183148], ""k"": 3, ""n_total"": 167053, ""anos"": [2015, 2016, 2017]}"
colunas,21622,33,0.09734381955779789,0.1612576064908722,0.8106060606060606,4.583736330202288e-15,"{""n"": 33, ""primeiro"": 0.09734381955779789, ""ultimo"": 0.1612576064908722, ""delta"": 0.06391378693307431}",-30.110579152218683,0.0,"{""p1"": 0.10497154013253775, ""p2"": 0.17047981275599766, ""diferenca"": -0.06550827262345991, ""risco_relativo"": 0.6157417610657525, ""n1"": 72734, ""n2"": 34180, ""ano_1"": 2015, ""ano_2"": 2017}",918.1840812907403,4.157766177299726e-200,"{""graus_liberdade"": 2, ""prevalencias_observadas"": [0.10497154013253775, 0.13568566155074077, 0.17047981275599766], ""k"": 3, ""n_total"": 167053, ""anos"": [2015, 2016, 2017]}"
mercado,20970,33,0.1063956076569224,0.1308316430020284,0.49621212121212116,2.4817472094643102e-05,"{""n"": 33, ""primeiro"": 0.1063956076569224, ""ultimo"": 0.1308316430020284, ""delta"": 0.024436035345106008}",-8.426547692404343,0.0,"{""p1"": 0.11606676382434625, ""p2"": 0.13414277355178467, ""diferenca"": -0.01807600972743842, ""risco_relativo"": 0.8652479798290414, ""n1"": 72734, ""n2"": 34180, ""ano_1"": 2015, ""ano_2"": 2017}",105.92033996819809,9.992874087778057e-24,"{""graus_liberdade"": 2, ""prevalencias_observadas"": [0.11606676382434625, 0.13207735412959976, 0.13414277355178467], ""k"": 3, ""n_total"": 167053, ""anos"": [2015, 2016, 2017]}"
esporte,19730,33,0.13948657070782014,0.06516227180527383,-0.6287878787878788,2.799284308580628e-08,"{""n"": 33, ""primeiro"": 0.13948657070782014, ""ultimo"": 0.06516227180527383, ""delta"": -0.07432429890254631}",32.272705040182075,0.0,"{""p1"": 0.13498501388621553, ""p2"": 0.06784669397308367, ""diferenca"": 0.06713831991313186, ""risco_relativo"": 1.9895591956148544, ""n1"": 72734, ""n2"": 34180, ""ano_1"": 2015, ""ano_2"": 2017}",1066.2413676637711,2.941906212164168e-232,"{""graus_liberdade"": 2, ""prevalencias_observadas"": [0.13498501388621553, 0.12625750345034004, 0.06784669397308367], ""k"": 3, ""n_total"": 167053, ""anos"": [2015, 2016, 2017]}"
mundo,17130,33,0.10773111737646535,0.10699797160243407,0.4810606060606061,4.634084748465078e-05,"{""n"": 33, ""primeiro"": 0.10773111737646535, ""ultimo"": 0.10699797160243407, ""delta"": -0.0007331457740312741}",-10.663732456633955,0.0,"{""p1"": 0.09754722688151346, ""p2"": 0.11892919836161497, ""diferenca"": -0.021381971480101514, ""risco_relativo"": 0.8202125989692818, ""n1"": 72734, ""n2"": 34180, ""ano_1"": 2015, ""ano_2"": 2017}",126.45251832748875,3.4768386259636295e-28,"{""graus_liberdade"": 2, ""prevalencias_observadas"": [0.09754722688151346, 0.09927002444337285, 0.11892919836161497], ""k"": 3, ""n_total"": 167053, ""anos"": [2015, 2016, 2017]}"
cotidiano,16967,33,0.15714497699955482,0.09203853955375253,-0.22727272727272727,0.06488652605740822,"{""n"": 33, ""primeiro"": 0.15714497699955482, ""ultimo"": 0.09203853955375253, ""delta"": -0.06510643744580229}",4.388564435575521,1.141013298089355e-05,"{""p1"": 0.11489812192372205, ""p2"": 0.10582211819777648, ""diferenca"": 0.009076003725945567, ""risco_relativo"": 1.0857666041893335, ""n1"": 72734, ""n2"": 34180, ""ano_1"": 2015, ""ano_2"": 2017}",375.0399963013847,3.639984687173795e-82,"{""graus_liberdade"": 2, ""prevalencias_observadas"": [0.11489812192372205, 0.08302432697583931, 0.10582211819777648], ""k"": 3, ""n_total"": 167053, ""anos"": [2015, 2016, 2017]}"
ilustrada,16345,33,0.08725330167680664,0.1191683569979716,0.4507575757575758,0.00014961531126754838,"{""n"": 33, ""primeiro"": 0.08725330167680664, ""ultimo"": 0.1191683569979716, ""delta"": 0.031915055321164953}",-9.096589488423914,0.0,"{""p1"": 0.09265267962713448, ""p2"": 0.11041544763019309, ""diferenca"": -0.017762768003058607, ""risco_relativo"": 0.8391278721927549, ""n1"": 72734, ""n2"": 34180, ""ano_1"": 2015, ""ano_2"": 2017}",83.91758739250552,5.991387795196498e-19,"{""graus_liberdade"": 2, ""prevalencias_observadas"": [0.09265267962713448, 0.09697534046126474, 0.11041544763019309], ""k"": 3, ""n_total"": 167053, ""anos"": [2015, 2016, 2017]}"
opiniao,4525,33,0.02329722510758273,0.030425963488843813,0.5303030303030303,5.502774338605856e-06,"{""n"": 33, ""primeiro"": 0.02329722510758273, ""ultimo"": 0.030425963488843813, ""delta"": 0.007128738381261084}",-4.812866615061639,1.4878059566569846e-06,"{""p1"": 0.025476393433607393, ""p2"": 0.030602691632533645, ""diferenca"": -0.005126298198926252, ""risco_relativo"": 0.8324886496756221, ""n1"": 72734, ""n2"": 34180, ""ano_1"": 2015, ""ano_2"": 2017}",23.19585508920683,9.185103742348153e-06,"{""graus_liberdade"": 2, ""prevalencias_observadas"": [0.025476393433607393, 0.02703736344136085, 0.030602691632533645], ""k"": 3, ""n_total"": 167053, ""anos"": [2015, 2016, 2017]}"
paineldoleitor,4011,33,0.03472325270811693,0.00988843813387424,-0.7689393939393939,4.489439232057854e-13,"{""n"": 33, ""primeiro"": 0.03472325270811693, ""ultimo"": 0.00988843813387424, ""delta"": -0.024834814574242692}",25.78541585855733,0.0,"{""p1"": 0.0380014848626502, ""p2"": 0.00965476887068461, ""diferenca"": 0.028346715991965594, ""risco_relativo"": 3.9360325836526786, ""n1"": 72734, ""n2"": 34180, ""ano_1"": 2015, ""ano_2"": 2017}",1105.2010205304239,1.020111620691128e-240,"{""graus_liberdade"": 2, ""prevalencias_observadas"": [0.0380014848626502, 0.015248008779660453, 0.00965476887068461], ""k"": 3, ""n_total"": 167053, ""anos"": [2015, 2016, 2017]}"
saopaulo,3955,33,0.02225849532571598,0.016227180527383367,-0.14393939393939395,0.24734155116995965,"{""n"": 33, ""primeiro"": 0.02225849532571598, ""ultimo"": 0.016227180527383367, ""delta"": -0.006031314798332615}",6.479052013107294,9.230061159826164e-11,"{""p1"": 0.0249676904886298, ""p2"": 0.018607372732592158, ""diferenca"": 0.006360317756037643, ""risco_relativo"": 1.3418170768889413, ""n1"": 72734, ""n2"": 34180, ""ano_1"": 2015, ""ano_2"": 2017}",47.746421914390076,4.285447864564042e-11,"{""graus_liberdade"": 2, ""prevalencias_observadas"": [0.0249676904886298, 0.024992101631221005, 0.018607372732592158], ""k"": 3, ""n_total"": 167053, ""anos"": [2015, 2016, 2017]}"
