categoria,rank,token,tfidf_mean
mercado,1,bilhões,0.0325553390900699
mercado,2,ano,0.03123249052833163
mercado,3,governo,0.02811956551837542
mercado,4,mercado,0.027383150010553612
mercado,5,banco,0.02603177759983908
mercado,6,empresa,0.02576864723605064
mercado,7,juros,0.02078603131237547
mercado,8,empresas,0.02034820504871787
mercado,9,brasil,0.01949923588062712
mercado,10,queda,0.01892183227907016
mercado,11,disse,0.01889903193290552
mercado,12,segundo,0.018674699883686797
mercado,13,feira,0.01834741808393125
mercado,14,economia,0.017921669495463
mercado,15,nesta,0.01788940262767523
mercado,16,alta,0.017725035100197038
mercado,17,presidente,0.01694885212868335
mercado,18,dólar,0.016442105709166127
mercado,19,inflação,0.01638159893918061
mercado,20,setor,0.01576304533448342
mercado,21,milhões,0.015710553710789343
mercado,22,país,0.015619975359359516
mercado,23,preços,0.015582943630481998
mercado,24,sobre,0.015580824231082743
mercado,25,taxa,0.015199937808413853
mercado,26,petrobras,0.015165359624741984
mercado,27,maior,0.01495739451470872
mercado,28,ações,0.014657950425210628
mercado,29,ainda,0.014173394041756658
mercado,30,acordo,0.013855989740177616
poder,1,presidente,0.05164235878895464
poder,2,dilma,0.037291128960782946
poder,3,cunha,0.03217802290423201
poder,4,pmdb,0.03194212069757148
poder,5,governo,0.031419088674149324
poder,6,temer,0.029633348007937117
poder,7,federal,0.029415645289222265
poder,8,câmara,0.029275828824715737
poder,9,disse,0.027519590662227107
poder,10,lula,0.02702802367512164
poder,11,ministro,0.02692644152866176
poder,12,impeachment,0.024255319387558864
poder,13,jato,0.024232294522371963
poder,14,afirmou,0.024190527631056252
poder,15,lava,0.024128333283249297
poder,16,deputado,0.02161404615550659
poder,17,tribunal,0.01951833200908317
poder,18,partido,0.01889948028547394
poder,19,segundo,0.01867968491997888
poder,20,senado,0.01867560789429812
poder,21,psdb,0.01867347113793598
poder,22,sobre,0.018670482767536054
poder,23,stf,0.01857112833518243
poder,24,deputados,0.018228326450620547
poder,25,petrobras,0.017984321082462396
poder,26,processo,0.017167909287264648
poder,27,operação,0.01711619000867213
poder,28,contra,0.016881851429713733
poder,29,supremo,0.016391605184803343
poder,30,senador,0.0162777795674829
colunas,1,rarará,0.018903989088183464
colunas,2,brasil,0.0175410810026034
colunas,3,governo,0.01591167352437575
colunas,4,ano,0.015424989502130828
colunas,5,anos,0.015407537430227882
colunas,6,vai,0.015066456324659125
colunas,7,dilma,0.014858081996400969
colunas,8,coluna,0.014484289522566252
colunas,9,presidente,0.01424449470074195
colunas,10,sobre,0.013645115938352284
colunas,11,ainda,0.013456587352245154
colunas,12,diz,0.0133362616799549
colunas,13,temer,0.013297679062621992
colunas,14,país,0.013241531306314945
colunas,15,pode,0.012846184432112663
colunas,16,bem,0.012768422498667845
colunas,17,mundo,0.012228470478340338
colunas,18,paulo,0.011795357166569358
colunas,19,milhões,0.01178506688272287
colunas,20,aqui,0.011708651399236865
colunas,21,porque,0.011553250990228758
colunas,22,contra,0.011178561086524002
colunas,23,política,0.011144924852826622
colunas,24,ter,0.010985485255070522
colunas,25,hoje,0.010966280712094285
colunas,26,menos,0.010864607493271559
colunas,27,lula,0.010849516292462776
colunas,28,tudo,0.010632864016255354
colunas,29,vida,0.010405216721327786
colunas,30,fazer,0.010122301216823013
esporte,1,time,0.03648674053549955
esporte,2,clube,0.030608724472888565
esporte,3,jogo,0.028724193339938756
esporte,4,jogos,0.027379808741910837
esporte,5,corinthians,0.026488184125254655
esporte,6,partida,0.02520674934268686
esporte,7,copa,0.025055264011147473
esporte,8,equipe,0.024940516282708054
esporte,9,futebol,0.02429230921151427
esporte,10,palmeiras,0.024037006620652984
esporte,11,campeonato,0.02233104091087432
esporte,12,brasileiro,0.022175703214795416
esporte,13,seleção,0.02194554086864051
esporte,14,jogador,0.02188718215724589
esporte,15,contra,0.02012459545802479
esporte,16,rio,0.019433371971499584
esporte,17,gol,0.01903637026546189
esporte,18,técnico,0.018742623593896033
esporte,19,pontos,0.018715829972155113
esporte,20,paulo,0.018633657195573396
esporte,21,final,0.018510645369048003
esporte,22,jogadores,0.018401850988710295
esporte,23,atacante,0.01771086477531033
esporte,24,feira,0.017269153705261726
esporte,25,brasil,0.016994374937504376
esporte,26,rodada,0.016808902164411867
esporte,27,santos,0.016506476453215225
esporte,28,disse,0.016335920011790826
esporte,29,mundial,0.01631726339322367
esporte,30,vitória,0.01627711187868144
mundo,1,trump,0.03574367389094394
mundo,2,disse,0.030285643308722205
mundo,3,presidente,0.02509499037761299
mundo,4,governo,0.025019484466002617
mundo,5,país,0.02457043332760254
mundo,6,pessoas,0.020656501157776536
mundo,7,eua,0.020398649424929947
mundo,8,obama,0.01801534249086561
mundo,9,países,0.017130671494607466
mundo,10,estado,0.017130373648804865
mundo,11,segundo,0.016105349023877825
mundo,12,sobre,0.016032936110115265
mundo,13,anos,0.01547732942762362
mundo,14,contra,0.015443678780947651
mundo,15,feira,0.015411678882607952
mundo,16,nesta,0.01478605056617098
mundo,17,síria,0.01446127285355886
mundo,18,partido,0.014162739361892033
mundo,19,cidade,0.013819044709054403
mundo,20,afirmou,0.013794494302266671
mundo,21,após,0.013577084394023551
mundo,22,estados,0.013397570946555462
mundo,23,norte,0.013285467236949046
mundo,24,acordo,0.012808443596540825
mundo,25,dois,0.012772738966584691
mundo,26,ataques,0.012403131797878462
mundo,27,unidos,0.01225591595758344
mundo,28,ataque,0.01218773876043793
mundo,29,hillary,0.012045055390083948
mundo,30,polícia,0.011982343935532647
cotidiano,1,paulo,0.026957563102744758
cotidiano,2,polícia,0.02404396148280276
cotidiano,3,segundo,0.021364509237270853
cotidiano,4,água,0.020453797989683806
cotidiano,5,cidade,0.02022299032641158
cotidiano,6,prefeitura,0.019200576408136435
cotidiano,7,região,0.018618609550333478
cotidiano,8,zona,0.01848431507495622
cotidiano,9,rio,0.017326189329098116
cotidiano,10,diz,0.01675969657318923
cotidiano,11,anos,0.01645605141893508
cotidiano,12,dia,0.016432543493893597
cotidiano,13,feira,0.01617606932375235
cotidiano,14,pessoas,0.01587801676507448
cotidiano,15,estado,0.015624549197706004
cotidiano,16,disse,0.015469871330274767
cotidiano,17,saúde,0.014846829557246505
cotidiano,18,local,0.014709267153419761
cotidiano,19,policiais,0.014121040395600198
cotidiano,20,ano,0.014113672659141326
cotidiano,21,após,0.013964290467190292
cotidiano,22,ainda,0.013961110975809158
cotidiano,23,ônibus,0.013851571552646644
cotidiano,24,paulista,0.013772261285597885
cotidiano,25,rua,0.013671322130689086
cotidiano,26,casos,0.013040541713658212
cotidiano,27,segurança,0.01300780137892719
cotidiano,28,dois,0.012506234928522273
cotidiano,29,desta,0.011996091161845966
cotidiano,30,três,0.01192756667376077
ilustrada,1,filme,0.03165657108834706
ilustrada,2,anos,0.02187699418320905
ilustrada,3,cinema,0.01584645616796677
ilustrada,4,música,0.015148694152785346
ilustrada,5,festival,0.014847850760415626
ilustrada,6,diz,0.014409448937734454
ilustrada,7,sobre,0.014221452469291799
ilustrada,8,the,0.013883169763156759
ilustrada,9,banda,0.013760021812680002
ilustrada,10,filmes,0.013461877533205576
ilustrada,11,show,0.013365851804572995
ilustrada,12,livro,0.013264980733466252
ilustrada,13,série,0.012615318456718132
ilustrada,14,diretor,0.012395109831969533
ilustrada,15,história,0.012259417887567396
ilustrada,16,artista,0.012236533251475383
ilustrada,17,ator,0.0117636838330961
ilustrada,18,vida,0.011456949332759491
ilustrada,19,onde,0.011367291191143793
ilustrada,20,brasil,0.011085500704633145
ilustrada,21,rock,0.011070829670430162
ilustrada,22,obra,0.011043179505411272
ilustrada,23,mundo,0.010725842021621428
ilustrada,24,dia,0.010183071306842423
ilustrada,25,melhor,0.010142377116986302
ilustrada,26,teatro,0.009870291902209035
ilustrada,27,paulo,0.00978869053906336
ilustrada,28,atriz,0.009779960499602317
ilustrada,29,estreia,0.009735924348199969
ilustrada,30,rio,0.009691211473445847
opiniao,1,governo,0.025725451716927566
opiniao,2,brasil,0.022443074238620433
opiniao,3,país,0.022007534028192558
opiniao,4,grupofolha,0.021072971839350592
opiniao,5,basta,0.01906209876709456
opiniao,6,presidente,0.019013342193293332
opiniao,7,debates,0.01835068254333618
opiniao,8,participação,0.01825067241793291
opiniao,9,colaborar,0.017582151458701113
opiniao,10,política,0.017308250330245214
opiniao,11,ainda,0.017093392317373265
opiniao,12,enviar,0.017068578793335554
opiniao,13,mail,0.016893785415443265
opiniao,14,brasileiros,0.01683802757690587
opiniao,15,editoriais,0.01643208906832
opiniao,16,lei,0.01636081078408352
opiniao,17,estado,0.016202138085348813
opiniao,18,anos,0.016027754781344133
opiniao,19,federal,0.01583789774636258
opiniao,20,debate,0.015667736509479318
opiniao,21,nacional,0.015326601046666067
opiniao,22,sobre,0.014979189475205925
opiniao,23,dilma,0.014548176499560092
opiniao,24,sociedade,0.014514006551389834
opiniao,25,problemas,0.014510860595964455
opiniao,26,ano,0.014414693433337183
opiniao,27,opinião,0.014250344033548903
opiniao,28,público,0.013875875995992477
opiniao,29,diversas,0.013541512575332966
opiniao,30,maior,0.013501968784217526
