categoria_vs,jaccard_top30,tokens_compartilhados,tokens_exclusivos_referencia,n_tokens_extraidos,n_textos_categoria,n_total_categoria
dw,0.2,afirmou;ano;brasil;disse;feira;governo;nesta;país;presidente;segundo,ainda;alta;ações;banco;bilhões;dólar;economia;empresa;empresas;inflação;juros;maior;mercado;milhões;petrobras;preços;queda;setor;sobre;taxa,30,48,48
mundo,0.17647058823529413,afirmou;disse;feira;governo;nesta;país;presidente;segundo;sobre,ainda;alta;ano;ações;banco;bilhões;brasil;dólar;economia;empresa;empresas;inflação;juros;maior;mercado;milhões;petrobras;preços;queda;setor;taxa,30,17130,17130
colunas,0.15384615384615385,ainda;ano;brasil;governo;milhões;país;presidente;sobre,afirmou;alta;ações;banco;bilhões;disse;dólar;economia;empresa;empresas;feira;inflação;juros;maior;mercado;nesta;petrobras;preços;queda;segundo;setor;taxa,30,21619,21622
tv,0.15384615384615385,brasil;feira;governo;nesta;país;presidente;segundo;sobre,afirmou;ainda;alta;ano;ações;banco;bilhões;disse;dólar;economia;empresa;empresas;inflação;juros;maior;mercado;milhões;petrobras;preços;queda;setor;taxa,30,2123,2142
seminariosfolha,0.15384615384615385,afirmou;brasil;disse;economia;país;presidente;segundo;sobre,ainda;alta;ano;ações;banco;bilhões;dólar;empresa;empresas;feira;governo;inflação;juros;maior;mercado;milhões;nesta;petrobras;preços;queda;setor;taxa,30,379,379
poder,0.1320754716981132,afirmou;disse;governo;petrobras;presidente;segundo;sobre,ainda;alta;ano;ações;banco;bilhões;brasil;dólar;economia;empresa;empresas;feira;inflação;juros;maior;mercado;milhões;nesta;país;preços;queda;setor;taxa,30,22022,22022
tec,0.1320754716981132,ano;brasil;disse;empresa;feira;milhões;nesta,afirmou;ainda;alta;ações;banco;bilhões;dólar;economia;empresas;governo;inflação;juros;maior;mercado;país;petrobras;presidente;preços;queda;segundo;setor;sobre;taxa,30,2260,2260
bbc,0.1320754716981132,ainda;ano;brasil;disse;país;segundo;sobre,afirmou;alta;ações;banco;bilhões;dólar;economia;empresa;empresas;feira;governo;inflação;juros;maior;mercado;milhões;nesta;petrobras;presidente;preços;queda;setor;taxa,30,980,980
cenarios-2017,0.1320754716981132,ainda;ano;brasil;governo;país;presidente;sobre,afirmou;alta;ações;banco;bilhões;disse;dólar;economia;empresa;empresas;feira;inflação;juros;maior;mercado;milhões;nesta;petrobras;preços;queda;segundo;setor;taxa,30,43,43
cotidiano,0.1111111111111111,ainda;ano;disse;feira;nesta;segundo,afirmou;alta;ações;banco;bilhões;brasil;dólar;economia;empresa;empresas;governo;inflação;juros;maior;mercado;milhões;país;petrobras;presidente;preços;queda;setor;sobre;taxa,30,16967,16967
opiniao,0.1111111111111111,ainda;brasil;governo;país;presidente;sobre,afirmou;alta;ano;ações;banco;bilhões;disse;dólar;economia;empresa;empresas;feira;inflação;juros;maior;mercado;milhões;nesta;petrobras;preços;queda;segundo;setor;taxa,30,4525,4525
asmais,0.1111111111111111,ano;brasil;milhões;país;presidente;sobre,afirmou;ainda;alta;ações;banco;bilhões;disse;dólar;economia;empresa;empresas;feira;governo;inflação;juros;maior;mercado;nesta;petrobras;preços;queda;segundo;setor;taxa,30,547,548
banco-de-dados,0.1111111111111111,banco;disse;feira;governo;nesta;presidente,afirmou;ainda;alta;ano;ações;bilhões;brasil;dólar;economia;empresa;empresas;inflação;juros;maior;mercado;milhões;país;petrobras;preços;queda;segundo;setor;sobre;taxa,30,64,64
topofmind,0.09090909090909091,ano;brasil;empresa;mercado;país,afirmou;ainda;alta;ações;banco;bilhões;disse;dólar;economia;empresas;feira;governo;inflação;juros;maior;milhões;nesta;petrobras;presidente;preços;queda;segundo;setor;sobre;taxa,30,86,86
