id_a,id_b,jaccard_estimado,title_a,title_b,date_a,date_b,category_a,category_b
120,72821,0.9765625,"Fechamos o ano com grave dívida moral, reclama leitor","Fechamos o ano com grande dívida moral, reclama leitor",2015-01-01,2016-01-01,paineldoleitor,paineldoleitor
659,19046,0.9453125,Forças Armadas começam a deixar Complexo da Maré no Rio,"No Rio, UPP da Maré será instalada em área controlada por milícia",2015-01-04,2015-03-30,cotidiano,cotidiano
835,20962,0.8515625,Aviso,Aviso,2015-01-05,2015-04-09,colunas,colunas
847,20962,0.8515625,Aviso,Aviso,2015-01-05,2015-04-09,colunas,colunas
1153,10072,0.984375,Confira a tampa de privada luminescente e outras bugigangas,Confira os disquetes porta-copos e outras bugigangas tecnológicas,2015-01-06,2015-02-17,tec,tec
1153,11663,0.984375,Confira a tampa de privada luminescente e outras bugigangas,Confira o 'botão Bluetooth' e outras bugigangas tecnológicas,2015-01-06,2015-02-24,tec,tec
1153,13067,0.984375,Confira a tampa de privada luminescente e outras bugigangas,Confira a capa de concreto para iPhone e outras bugigangas tecnológicas,2015-01-06,2015-03-02,tec,tec
1153,13341,0.984375,Confira a tampa de privada luminescente e outras bugigangas,Confira a 'torradeira Darth Vader' e outras bugigangas tecnológicas,2015-01-06,2015-03-03,tec,tec
1153,14221,0.953125,Confira a tampa de privada luminescente e outras bugigangas,Confira a 'máscara Doge' e outras compras tecnológicas,2015-01-06,2015-03-08,tec,tec
1153,16178,0.984375,Confira a tampa de privada luminescente e outras bugigangas,Confira tábua de carne do 'Nintendinho' e outras bugigangas tecnológicas,2015-01-06,2015-03-17,tec,tec
1153,17870,0.984375,Confira a tampa de privada luminescente e outras bugigangas,Confira colchão inteligente e outras bugigangas tecnológicas,2015-01-06,2015-03-24,tec,tec
1153,19396,0.9921875,Confira a tampa de privada luminescente e outras bugigangas,Veja cabideiro que imita controle de PS3 e outras bugigangas tecnológicas,2015-01-06,2015-03-31,tec,tec
1153,20404,1.0,Confira a tampa de privada luminescente e outras bugigangas,Confira o alto-falante 'Iron Man' e outras bugigangas tecnológicas,2015-01-06,2015-04-05,tec,tec
1153,22086,1.0,Confira a tampa de privada luminescente e outras bugigangas,Confira projetor de papelão e outras bugigangas tecnológicas,2015-01-06,2015-04-14,tec,tec
1153,23357,1.0,Confira a tampa de privada luminescente e outras bugigangas,Confira 'anzol' inteligente e outras bugigangas tecnológicas,2015-01-06,2015-04-21,tec,tec
1153,24531,0.953125,Confira a tampa de privada luminescente e outras bugigangas,Veja escova de dentes com visor e outras bugigangas tecnológicas,2015-01-06,2015-04-27,tec,tec
1153,27130,0.9375,Confira a tampa de privada luminescente e outras bugigangas,Confira o transmissor FM para carros e outras compras tecnológicas,2015-01-06,2015-05-10,tec,tec
1153,28607,1.0,Confira a tampa de privada luminescente e outras bugigangas,Confira adaptador bluetooth e outras bugigangas tecnológicas,2015-01-06,2015-05-18,tec,tec
1153,29918,1.0,Confira a tampa de privada luminescente e outras bugigangas,Confira o recarregador USB solar e outras compras tecnológicas,2015-01-06,2015-05-25,tec,tec
1153,31336,0.984375,Confira a tampa de privada luminescente e outras bugigangas,Confira a espada 'Minecraft' e outras bugigangas tecnológicas,2015-01-06,2015-06-01,tec,tec
1153,32564,0.953125,Confira a tampa de privada luminescente e outras bugigangas,Confira o suporte para celular na bike e outras compras tecnológicas,2015-01-06,2015-06-07,tec,tec
1153,34003,0.953125,Confira a tampa de privada luminescente e outras bugigangas,Veja USB que vira lanterna e outras bugigangas tecnológicas,2015-01-06,2015-06-15,tec,tec
1153,35417,0.9375,Confira a tampa de privada luminescente e outras bugigangas,Veja casaco de moletom para os fãs de wi-fi e outras compras tecnológicas,2015-01-06,2015-06-22,tec,tec
1153,36823,0.953125,Confira a tampa de privada luminescente e outras bugigangas,Confira o alto-falante canino e outras compras tecnológicas,2015-01-06,2015-06-29,tec,tec
1153,37886,1.0,Confira a tampa de privada luminescente e outras bugigangas,Confira celular de baixo custo da Sony e outras bugigangas tecnológicas,2015-01-06,2015-07-04,tec,tec
1153,38842,0.953125,Confira a tampa de privada luminescente e outras bugigangas,Confira o esterilizador de celular e outras compras tecnológicas,2015-01-06,2015-07-09,tec,tec
1153,40954,0.953125,Confira a tampa de privada luminescente e outras bugigangas,Confira o comunicador de 'Jornada nas Estrelas' e outras compras tecnológicas,2015-01-06,2015-07-20,tec,tec
1153,42225,0.953125,Confira a tampa de privada luminescente e outras bugigangas,Confira o novo celular Alcatel e outras compras tecnológicas,2015-01-06,2015-07-27,tec,tec
1153,44209,1.0,Confira a tampa de privada luminescente e outras bugigangas,Veja o alto-falante com 20 horas de bateria e outras compras tecnológicas,2015-01-06,2015-08-06,tec,tec
1153,47657,0.953125,Confira a tampa de privada luminescente e outras bugigangas,Confira o roteador 'drone' e outras compras tecnológicas,2015-01-06,2015-08-24,tec,tec
1153,49105,0.953125,Confira a tampa de privada luminescente e outras bugigangas,Confira o smartphone com Linux e outras compras tecnológicas,2015-01-06,2015-08-31,tec,tec
1153,54735,0.9375,Confira a tampa de privada luminescente e outras bugigangas,Confira a câmera disfarçada de fonte e outras compras tecnológicas,2015-01-06,2015-09-28,tec,tec
1153,55556,0.984375,Confira a tampa de privada luminescente e outras bugigangas,Confira o 'capacete Metroid' e outras bugigangas tecnológicas,2015-01-06,2015-10-02,tec,tec
1153,55807,0.984375,Confira a tampa de privada luminescente e outras bugigangas,Confira o kit de decoração de unhas tetris e outras bugigangas tecnológicas,2015-01-06,2015-10-03,tec,tec
1153,56751,0.953125,Confira a tampa de privada luminescente e outras bugigangas,Confira a lente 'profissional' para smartphone e outras compras,2015-01-06,2015-10-08,tec,tec
1153,68450,1.0,Confira a tampa de privada luminescente e outras bugigangas,Confira o tablet projetor e outras bugigangas tecnológicas,2015-01-06,2015-12-05,tec,tec
1495,8318,1.0,Domingo tem bloqueios na zona sul e festival de cerveja artesanal,Redução de velocidade no centro e na zona leste começam nesta segunda,2015-01-08,2015-02-08,saopaulo,saopaulo
1495,14220,1.0,Domingo tem bloqueios na zona sul e festival de cerveja artesanal,"SPh: Aos 93, Bibi Ferreira volta aos palcos nesta terça para cantar Sinatra",2015-01-08,2015-03-08,saopaulo,saopaulo
2137,67334,0.953125,Fuvest foi clássica e sem 'pegadinha' na 1ª fase; professores comentam,Fuvest foi clássica e sem 'pegadinha' na 1ª fase; professores comentam,2015-01-12,2015-11-30,educacao,tv
2513,10072,1.0,Confira a jaqueta com luzes de LED e outras bugigangas tecnológicas,Confira os disquetes porta-copos e outras bugigangas tecnológicas,2015-01-13,2015-02-17,tec,tec
2513,11663,1.0,Confira a jaqueta com luzes de LED e outras bugigangas tecnológicas,Confira o 'botão Bluetooth' e outras bugigangas tecnológicas,2015-01-13,2015-02-24,tec,tec
2513,13067,1.0,Confira a jaqueta com luzes de LED e outras bugigangas tecnológicas,Confira a capa de concreto para iPhone e outras bugigangas tecnológicas,2015-01-13,2015-03-02,tec,tec
2513,13341,1.0,Confira a jaqueta com luzes de LED e outras bugigangas tecnológicas,Confira a 'torradeira Darth Vader' e outras bugigangas tecnológicas,2015-01-13,2015-03-03,tec,tec
2513,14221,0.9375,Confira a jaqueta com luzes de LED e outras bugigangas tecnológicas,Confira a 'máscara Doge' e outras compras tecnológicas,2015-01-13,2015-03-08,tec,tec
2513,16178,1.0,Confira a jaqueta com luzes de LED e outras bugigangas tecnológicas,Confira tábua de carne do 'Nintendinho' e outras bugigangas tecnológicas,2015-01-13,2015-03-17,tec,tec
2513,17870,1.0,Confira a jaqueta com luzes de LED e outras bugigangas tecnológicas,Confira colchão inteligente e outras bugigangas tecnológicas,2015-01-13,2015-03-24,tec,tec
2513,19396,0.9765625,Confira a jaqueta com luzes de LED e outras bugigangas tecnológicas,Veja cabideiro que imita controle de PS3 e outras bugigangas tecnológicas,2015-01-13,2015-03-31,tec,tec
2513,20404,0.984375,Confira a jaqueta com luzes de LED e outras bugigangas tecnológicas,Confira o alto-falante 'Iron Man' e outras bugigangas tecnológicas,2015-01-13,2015-04-05,tec,tec
2513,22086,0.984375,Confira a jaqueta com luzes de LED e outras bugigangas tecnológicas,Confira projetor de papelão e outras bugigangas tecnológicas,2015-01-13,2015-04-14,tec,tec
2513,23357,0.984375,Confira a jaqueta com luzes de LED e outras bugigangas tecnológicas,Confira 'anzol' inteligente e outras bugigangas tecnológicas,2015-01-13,2015-04-21,tec,tec
2513,24531,0.9375,Confira a jaqueta com luzes de LED e outras bugigangas tecnológicas,Veja escova de dentes com visor e outras bugigangas tecnológicas,2015-01-13,2015-04-27,tec,tec
2513,27130,0.921875,Confira a jaqueta com luzes de LED e outras bugigangas tecnológicas,Confira o transmissor FM para carros e outras compras tecnológicas,2015-01-13,2015-05-10,tec,tec
2513,28607,0.984375,Confira a jaqueta com luzes de LED e outras bugigangas tecnológicas,Confira adaptador bluetooth e outras bugigangas tecnológicas,2015-01-13,2015-05-18,tec,tec
2513,29918,0.984375,Confira a jaqueta com luzes de LED e outras bugigangas tecnológicas,Confira o recarregador USB solar e outras compras tecnológicas,2015-01-13,2015-05-25,tec,tec
2513,31336,1.0,Confira a jaqueta com luzes de LED e outras bugigangas tecnológicas,Confira a espada 'Minecraft' e outras bugigangas tecnológicas,2015-01-13,2015-06-01,tec,tec
2513,32564,0.9375,Confira a jaqueta com luzes de LED e outras bugigangas tecnológicas,Confira o suporte para celular na bike e outras compras tecnológicas,2015-01-13,2015-06-07,tec,tec
2513,34003,0.9375,Confira a jaqueta com luzes de LED e outras bugigangas tecnológicas,Veja USB que vira lanterna e outras bugigangas tecnológicas,2015-01-13,2015-06-15,tec,tec
2513,35417,0.953125,Confira a jaqueta com luzes de LED e outras bugigangas tecnológicas,Veja casaco de moletom para os fãs de wi-fi e outras compras tecnológicas,2015-01-13,2015-06-22,tec,tec
2513,36823,0.9375,Confira a jaqueta com luzes de LED e outras bugigangas tecnológicas,Confira o alto-falante canino e outras compras tecnológicas,2015-01-13,2015-06-29,tec,tec
2513,37886,0.984375,Confira a jaqueta com luzes de LED e outras bugigangas tecnológicas,Confira celular de baixo custo da Sony e outras bugigangas tecnológicas,2015-01-13,2015-07-04,tec,tec
2513,38842,0.9375,Confira a jaqueta com luzes de LED e outras bugigangas tecnológicas,Confira o esterilizador de celular e outras compras tecnológicas,2015-01-13,2015-07-09,tec,tec
