id_a,id_b,jaccard_estimado,title_a,title_b,date_a,date_b,category_a,category_b
120,72821,0.9765625,"Fechamos o ano com grave dívida moral, reclama leitor","Fechamos o ano com grande dívida moral, reclama leitor",2015-01-01,2016-01-01,paineldoleitor,paineldoleitor
151,159,0.9375,"Governo vai defender Petrobras de 'inimigos externos', diz Dilma","Em discurso, Dilma prioriza educação e defende Petrobras; veja a íntegra",2015-01-01,2015-01-01,poder,poder
155,159,0.8984375,Análise: Dilma tenta responder à crise,"Em discurso, Dilma prioriza educação e defende Petrobras; veja a íntegra",2015-01-01,2015-01-01,poder,poder
659,19046,0.9453125,Forças Armadas começam a deixar Complexo da Maré no Rio,"No Rio, UPP da Maré será instalada em área controlada por milícia",2015-01-04,2015-03-30,cotidiano,cotidiano
835,847,1.0,Aviso,Aviso,2015-01-05,2015-01-05,colunas,colunas
835,20962,0.8515625,Aviso,Aviso,2015-01-05,2015-04-09,colunas,colunas
847,20962,0.8515625,Aviso,Aviso,2015-01-05,2015-04-09,colunas,colunas
1153,2513,0.984375,Confira a tampa de privada luminescente e outras bugigangas,Confira a jaqueta com luzes de LED e outras bugigangas tecnológicas,2015-01-06,2015-01-13,tec,tec
1153,4078,0.984375,Confira a tampa de privada luminescente e outras bugigangas,Confira a 'carteira playstation' e outras bugigangas tecnológicas,2015-01-06,2015-01-20,tec,tec
1153,5757,0.984375,Confira a tampa de privada luminescente e outras bugigangas,Confira o mouse com entrada USB e outras bugigangas tecnológicas,2015-01-06,2015-01-27,tec,tec
1153,10072,0.984375,Confira a tampa de privada luminescente e outras bugigangas,Confira os disquetes porta-copos e outras bugigangas tecnológicas,2015-01-06,2015-02-17,tec,tec
1153,11663,0.984375,Confira a tampa de privada luminescente e outras bugigangas,Confira o 'botão Bluetooth' e outras bugigangas tecnológicas,2015-01-06,2015-02-24,tec,tec
1153,13067,0.984375,Confira a tampa de privada luminescente e outras bugigangas,Confira a capa de concreto para iPhone e outras bugigangas tecnológicas,2015-01-06,2015-03-02,tec,tec
1153,13341,0.984375,Confira a tampa de privada luminescente e outras bugigangas,Confira a 'torradeira Darth Vader' e outras bugigangas tecnológicas,2015-01-06,2015-03-03,tec,tec
1153,14221,0.953125,Confira a tampa de privada luminescente e outras bugigangas,Confira a 'máscara Doge' e outras compras tecnológicas,2015-01-06,2015-03-08,tec,tec
1153,16178,0.984375,Confira a tampa de privada luminescente e outras bugigangas,Confira tábua de carne do 'Nintendinho' e outras bugigangas tecnológicas,2015-01-06,2015-03-17,tec,tec
1153,17870,0.984375,Confira a tampa de privada luminescente e outras bugigangas,Confira colchão inteligente e outras bugigangas tecnológicas,2015-01-06,2015-03-24,tec,tec
1153,19396,0.9921875,Confira a tampa de privada luminescente e outras bugigangas,Veja cabideiro que imita controle de PS3 e outras bugigangas tecnológicas,2015-01-06,2015-03-31,tec,tec
1153,20404,1.0,Confira a tampa de privada luminescente e outras bugigangas,Confira o alto-falante 'Iron Man' e outras bugigangas tecnológicas,2015-01-06,2015-04-05,tec,tec
1153,22086,1.0,Confira a tampa de privada luminescente e outras bugigangas,Confira projetor de papelão e outras bugigangas tecnológicas,2015-01-06,2015-04-14,tec,tec
1153,23357,1.0,Confira a tampa de privada luminescente e outras bugigangas,Confira 'anzol' inteligente e outras bugigangas tecnológicas,2015-01-06,2015-04-21,tec,tec
1153,24531,0.953125,Confira a tampa de privada luminescente e outras bugigangas,Veja escova de dentes com visor e outras bugigangas tecnológicas,2015-01-06,2015-04-27,tec,tec
1153,27130,0.9375,Confira a tampa de privada luminescente e outras bugigangas,Confira o transmissor FM para carros e outras compras tecnológicas,2015-01-06,2015-05-10,tec,tec
1153,28607,1.0,Confira a tampa de privada luminescente e outras bugigangas,Confira adaptador bluetooth e outras bugigangas tecnológicas,2015-01-06,2015-05-18,tec,tec
1153,29918,1.0,Confira a tampa de privada luminescente e outras bugigangas,Confira o recarregador USB solar e outras compras tecnológicas,2015-01-06,2015-05-25,tec,tec
1153,31336,0.984375,Confira a tampa de privada luminescente e outras bugigangas,Confira a espada 'Minecraft' e outras bugigangas tecnológicas,2015-01-06,2015-06-01,tec,tec
1153,32564,0.953125,Confira a tampa de privada luminescente e outras bugigangas,Confira o suporte para celular na bike e outras compras tecnológicas,2015-01-06,2015-06-07,tec,tec
1153,34003,0.953125,Confira a tampa de privada luminescente e outras bugigangas,Veja USB que vira lanterna e outras bugigangas tecnológicas,2015-01-06,2015-06-15,tec,tec
1153,35417,0.9375,Confira a tampa de privada luminescente e outras bugigangas,Veja casaco de moletom para os fãs de wi-fi e outras compras tecnológicas,2015-01-06,2015-06-22,tec,tec
1153,36823,0.953125,Confira a tampa de privada luminescente e outras bugigangas,Confira o alto-falante canino e outras compras tecnológicas,2015-01-06,2015-06-29,tec,tec
1153,37886,1.0,Confira a tampa de privada luminescente e outras bugigangas,Confira celular de baixo custo da Sony e outras bugigangas tecnológicas,2015-01-06,2015-07-04,tec,tec
1153,38842,0.953125,Confira a tampa de privada luminescente e outras bugigangas,Confira o esterilizador de celular e outras compras tecnológicas,2015-01-06,2015-07-09,tec,tec
1153,40954,0.953125,Confira a tampa de privada luminescente e outras bugigangas,Confira o comunicador de 'Jornada nas Estrelas' e outras compras tecnológicas,2015-01-06,2015-07-20,tec,tec
1153,42225,0.953125,Confira a tampa de privada luminescente e outras bugigangas,Confira o novo celular Alcatel e outras compras tecnológicas,2015-01-06,2015-07-27,tec,tec
